year,link,name
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Shaunak Sen, Aman Mann and Teddy Leifer - ""All That Breathes"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Laura Poitras, Howard Gertler, John Lyons, Nan Goldin and Yoni Golijov - ""All the Beauty and the Bloodshed"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Sara Dosa, Shane Boris and Ina Fichman - ""Fire of Love"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Simon Lereng Wilmont and Monica Hellström - ""A House Made of Splinters"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Evgenia Arbugaeva and Maxim Arbugaev - ""Haulout"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Jay Rosenblatt - ""How Do You Measure a Year?"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Anne Alvergue and Beth Levison - ""The Martha Mitchell Effect"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Joshua Seftel and Conall Jones - ""Stranger at the Gate"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Mikkel E.G. Nielsen - ""The Banshees of Inisherin"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Matt Villa and Jonathan Redmond - ""Elvis"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Monika Willi - ""Tár"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Eddie Hamilton - ""Top Gun: Maverick"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Argentina - ""Argentina, 1985"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Belgium - ""Close"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Poland - ""EO"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Ireland - ""The Quiet Girl"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Heike Merker and Linda Eisenhamerová - ""All Quiet on the Western Front"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Naomi Donne, Mike Marino and Mike Fontaine - ""The Batman"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Camille Friend and Joel Harlow - ""Black Panther: Wakanda Forever"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Mark Coulier, Jason Baird and Aldo Signoretti - ""Elvis"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Justin Hurwitz - ""Babylon"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Carter Burwell - ""The Banshees of Inisherin"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Son Lux - ""Everything Everywhere All at Once"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"John Williams - ""The Fabelmans"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Music and Lyric by Diane Warren - ""Tell It like a Woman"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Music and Lyric by Lady Gaga and BloodPop - ""Top Gun: Maverick"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Music by Tems, Rihanna, Ryan Coogler and Ludwig Goransson; Lyric by Tems and Ryan Coogler - ""Black Panther: Wakanda Forever"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Music by Ryan Lott, David Byrne and Mitski; Lyric by Ryan Lott and David Byrne - ""Everything Everywhere All at Once"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Malte Grunert, Producer - ""All Quiet on the Western Front"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"James Cameron and Jon Landau, Producers - ""Avatar: The Way of Water"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Graham Broadbent, Pete Czernin and Martin McDonagh, Producers - ""The Banshees of Inisherin"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Baz Luhrmann, Catherine Martin, Gail Berman, Patrick McCormick and Schuyler Weiss, Producers - ""Elvis"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Kristie Macosko Krieger, Steven Spielberg and Tony Kushner, Producers - ""The Fabelmans"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Todd Field, Alexandra Milchan and Scott Lambert, Producers - ""Tár"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Tom Cruise, Christopher McQuarrie, David Ellison and Jerry Bruckheimer, Producers - ""Top Gun: Maverick"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Erik Hemmendorff and Philippe Bober, Producers - ""Triangle of Sadness"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Dede Gardner, Jeremy Kleiner and Frances McDormand, Producers - ""Women Talking"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Production Design: Dylan Cole and Ben Procter; Set Decoration: Vanessa Cole - ""Avatar: The Way of Water"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Production Design: Florencia Martin; Set Decoration: Anthony Carlino - ""Babylon"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Production Design: Catherine Martin and Karen Murphy; Set Decoration: Bev Dunn - ""Elvis"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Production Design: Rick Carter; Set Decoration: Karen O'Hara - ""The Fabelmans"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Amanda Forbis and Wendy Tilby - ""The Flying Sailor"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"João Gonzalez and Bruno Caetano - ""Ice Merchants"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Sara Gunnarsdóttir and Pamela Ribon - ""My Year of Dicks"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Lachlan Pendragon - ""An Ostrich Told Me the World Is Fake and I Think I Believe It"""
Oscar Awards 2023,output/pages/f5eaf5b6-3e93-4aec-abfb-e0a14cd61dbb.html,"Anders Walter and Rebecca Pruzan - ""Ivalu"""
